"id","sleep_avg","sleep_today","game_years","game_hours","music_level","music_years","languages","sport_years","sport_hours","sport_strength","sport_cardio","sport_intellect","conscienc","calculations","navigation","simil","rmsd","rmsd_norm","time_norm","time","min_parts","max_parts","avg_parts","min_dim","max_dim","avg_dim"
"id159248607636521271983522281",8,9,10,6,"amateur",1,1,2,10,30,10,60,"rather_not","rather_yes","definetely_yes",30,1.18029518201106,181.020293170185,153.125,1.63333333333333,5,7,6,1.84417573751892,1.94057721063525,1.89237647407708
"id159248607636521271983522281",8,9,10,6,"amateur",1,1,2,10,30,10,60,"rather_not","rather_yes","definetely_yes",21,0.891860456254538,190.954545292626,234.285714285714,2.73333333333333,7,8,7.5,1.51208743085302,2.12648603051358,1.8192867306833
"id159248607636521271983522281",8,9,10,6,"amateur",1,1,2,10,30,10,60,"rather_not","rather_yes","definetely_yes",75,0.945983098945729,102.534313043122,209.615384615385,1.81666666666667,7,8,7.5,1.84417573751892,2.12648603051358,1.98533088401625
"id159317881357458291472988104",8,8,15,1.5,"amateur",2,3,4,4,36.36364,45.45455,18.18182,"undecided","rather_yes","undecided",70,1.43416913338445,102.341199929716,308.450704225353,3.65,7,7,7,1.51208743085302,1.84417573751892,1.67813158418597
"id159317881357458291472988104",8,8,15,1.5,"amateur",2,3,4,4,36.36364,45.45455,18.18182,"undecided","rather_yes","undecided",45,0.568546502105219,111.199732834448,259.782608695653,3.98333333333333,4,6,5,1.97092051152864,2.46169181385923,2.21630616269394
"id159317881357458291472988104",8,8,15,1.5,"amateur",2,3,4,4,36.36364,45.45455,18.18182,"undecided","rather_yes","undecided",40,0.993608091300539,152.388343801446,417.187499999999,4.45,5,7,6,1.84417573751892,1.94057721063525,1.89237647407708
"id159317881357458291472988104",8,8,15,1.5,"amateur",2,3,4,4,36.36364,45.45455,18.18182,"undecided","rather_yes","undecided",35,0.904291023975198,193.616030494914,427.142857142856,4.98333333333333,7,8,7.5,1.51208743085302,2.12648603051358,1.8192867306833
"id159317881357458291472988104",8,8,15,1.5,"amateur",2,3,4,4,36.36364,45.45455,18.18182,"undecided","rather_yes","undecided",25,0.951737494455994,103.158027136197,521.153846153846,4.51666666666667,7,8,7.5,1.84417573751892,2.12648603051358,1.98533088401625
"id15931788165313805-243892052",7,6.5,13,1.5,"amateur",6,2,7,4,20,60,20,"definetely_yes","rather_yes","definetely_yes",64,1.68112728597296,119.963942659293,332.394366197184,3.93333333333333,7,7,7,1.51208743085302,1.84417573751892,1.67813158418597
"id15931788165313805-243892052",7,6.5,13,1.5,"amateur",6,2,7,4,20,60,20,"definetely_yes","rather_yes","definetely_yes",75,0.700923758916977,137.090870210754,311.956521739131,4.78333333333333,4,6,5,1.97092051152864,2.46169181385923,2.21630616269394
"id15931788165313805-243892052",7,6.5,13,1.5,"amateur",6,2,7,4,20,60,20,"definetely_yes","rather_yes","definetely_yes",32,1.03311316886698,158.447184701401,396.874999999999,4.23333333333333,5,7,6,1.84417573751892,1.94057721063525,1.89237647407708
"id15931788165313805-243892052",7,6.5,13,1.5,"amateur",6,2,7,4,20,60,20,"definetely_yes","rather_yes","definetely_yes",65,0.467053798006127,99.9999999999999,358.571428571428,4.18333333333333,7,8,7.5,1.51208743085302,2.12648603051358,1.8192867306833
"id15931788165313805-243892052",7,6.5,13,1.5,"amateur",6,2,7,4,20,60,20,"definetely_yes","rather_yes","definetely_yes",62,0.942638537359924,102.171798823774,442.307692307692,3.83333333333333,7,8,7.5,1.84417573751892,2.12648603051358,1.98533088401625
"id159317884130373391472988104",7,0,13,1.5,"none",0,2,5,0,60,30,10,"undecided","definetely_yes","rather_yes",30,1.42193101811372,101.467897491022,573.23943661972,6.78333333333333,7,7,7,1.51208743085302,1.84417573751892,1.67813158418597
"id159317884130373391472988104",7,0,13,1.5,"none",0,2,5,0,60,30,10,"undecided","definetely_yes","rather_yes",25,0.781773882572884,152.904022023102,194.565217391305,2.98333333333333,4,6,5,1.97092051152864,2.46169181385923,2.21630616269394
"id159317884130373391472988104",7,0,13,1.5,"none",0,2,5,0,60,30,10,"undecided","definetely_yes","rather_yes",20,0.774146763865348,118.729853588729,945.312499999997,10.0833333333333,5,7,6,1.84417573751892,1.94057721063525,1.89237647407708
"id159317884130373391472988104",7,0,13,1.5,"none",0,2,5,0,60,30,10,"undecided","definetely_yes","rather_yes",30,1.20293229224397,257.557544201404,441.42857142857,5.15,7,8,7.5,1.51208743085302,2.12648603051358,1.8192867306833
"id159317884130373391472988104",7,0,13,1.5,"none",0,2,5,0,60,30,10,"undecided","definetely_yes","rather_yes",37,1.07526854760892,116.547454165754,390.384615384615,3.38333333333333,7,8,7.5,1.84417573751892,2.12648603051358,1.98533088401625
"id15931789064652566-698143469",7,6.5,15,1,"amateur",5,2,18,3,40,60,0,"definetely_not","definetely_yes","undecided",59,1.44279368498019,102.956641259904,319.718309859156,3.78333333333333,7,7,7,1.51208743085302,1.84417573751892,1.67813158418597
"id15931789064652566-698143469",7,6.5,15,1,"amateur",5,2,18,3,40,60,0,"definetely_not","definetely_yes","undecided",40,0.697629921103819,136.446641667501,380.434782608696,5.83333333333333,4,6,5,1.97092051152864,2.46169181385923,2.21630616269394
"id15931789064652566-698143469",7,6.5,15,1,"amateur",5,2,18,3,40,60,0,"definetely_not","definetely_yes","undecided",20,0.652023682726781,100,814.062499999997,8.68333333333333,5,7,6,1.84417573751892,1.94057721063525,1.89237647407708
"id15931789064652566-698143469",7,6.5,15,1,"amateur",5,2,18,3,40,60,0,"definetely_not","definetely_yes","undecided",41,0.622357784957802,133.251841140073,364.285714285713,4.25,7,8,7.5,1.51208743085302,2.12648603051358,1.8192867306833
"id15931789064652566-698143469",7,6.5,15,1,"amateur",5,2,18,3,40,60,0,"definetely_not","definetely_yes","undecided",66,0.962580236262188,104.333262807787,534.615384615384,4.63333333333333,7,8,7.5,1.84417573751892,2.12648603051358,1.98533088401625
